Hawkishness Date,Hawkishness
2014-03-03,1.0
2014-06-16,0.2
2014-09-12,-0.073170731707317
2014-04-25,0.2424242424242424
2014-07-25,0.15625
2014-12-16,0.5
2014-03-14,0.03125
2014-10-31,0.2571428571428571
2014-12-11,0.1395348837209302
2014-02-14,-0.1724137931034483
2022-02-11,0.375
2022-06-10,-0.3469387755102041
2022-03-18,0.0625
2022-09-16,-0.2950819672131147
2022-12-16,0.1851851851851851
2022-07-22,-0.3492063492063492
2022-10-28,-0.0909090909090909
2022-04-29,-0.2553191489361702
2024-09-13,0.3111111111111111
2024-10-25,0.7368421052631579
2024-02-16,0.0606060606060606
2024-07-26,0.6571428571428571
2024-03-22,0.2972972972972973
2024-06-07,0.4615384615384615
2024-04-26,0.2285714285714285
2023-02-10,0.1851851851851851
2023-12-15,0.3684210526315789
2023-03-17,0.2264150943396226
2023-09-15,0.5151515151515151
2023-07-21,0.3818181818181818
2023-10-27,0.34375
2023-06-09,0.2941176470588235
2023-04-28,0.125
2015-06-15,-0.4705882352941176
2015-09-11,-0.35
2015-04-30,-0.7096774193548387
2015-07-31,-0.5757575757575758
2015-01-30,-0.1666666666666666
2015-10-30,-0.4193548387096774
2015-12-11,-0.35
2015-03-13,-0.3225806451612903
2017-07-28,0.1794871794871795
2017-04-28,-0.0232558139534883
2017-10-27,0.0
2017-02-03,-0.125
2017-06-16,-0.1304347826086956
2017-03-24,-0.0952380952380952
2017-09-15,0.0652173913043478
2017-12-15,-0.2083333333333333
2019-02-08,0.119047619047619
2019-06-14,-0.4444444444444444
2019-10-25,-0.4576271186440678
2019-09-06,-0.5490196078431373
2019-07-26,-0.3333333333333333
2019-03-22,-0.1346153846153846
2019-04-26,-0.1590909090909091
2021-09-10,0.3666666666666666
2021-07-23,0.4406779661016949
2021-02-12,0.1746031746031746
2021-12-17,0.4035087719298245
2021-03-19,0.3508771929824561
2021-04-23,0.2539682539682539
2021-06-11,0.4827586206896552
2021-10-22,0.3968253968253968
2018-12-14,0.3265306122448979
2018-07-27,0.0526315789473684
2018-03-23,-0.2564102564102564
2018-09-14,0.4324324324324324
2018-04-27,0.2258064516129032
2018-10-26,0.225
2018-06-15,0.1428571428571428
2016-01-29,0.0
2016-10-28,-0.0444444444444444
2016-09-16,-0.25
2016-04-29,-0.3571428571428571
2016-03-18,-0.21875
2016-12-16,-0.1714285714285714
2016-06-10,-0.2258064516129032
2016-07-29,-0.0689655172413793
